SightingDate	fullLocation	StateText	2013	City	lat	lon	bins	Shape
1/15/13 20:00	Marana, Arizona	Arizona	38290	Marana	32.436738	-111.2253822	3	Light
1/15/13 20:15	San Antonio, Texas	Texas	1409019	San Antonio	29.4246002	-98.4951405	140	Unknown
1/15/13 23:00	Lakeland, Florida	Florida	100710	Lakeland	28.0394654	-81.9498042	10	Light
1/15/14 12:00	Tallahassee, Florida	Florida	186411	Tallahassee	30.4380832	-84.2809332	18	Teardrop
1/15/14 14:30	Dana Point, California	California	34062	Dana Point	33.4669721	-117.6981075	3	Sphere
1/15/14 14:30	Spearsville, Louisiana	Louisiana	135	Spearsville	39.3304338	-86.1967051	0	Triangle
1/15/14 17:45	Mountain Brook, Alabama	Alabama	20359	Mountain Brook	33.4817025	-86.7449959218696	2	Light
1/15/14 19:00	Garner, North Carolina	North Carolina	26772	Garner	35.7112642	-78.6141709	2	Disk
1/15/14 19:30	Birmingham, Alabama	Alabama	212113	Birmingham	52.4813679	-1.8980726	21	Formation
1/15/14 19:45	St. Stephen, South Carolina	South Carolina	1762	St. Stephen	33.4043339	-79.9217432	0	Sphere
1/15/14 20:00	Lilburn, Georgia	Georgia	12425	Lilburn	33.8901036	-84.1429719	1	Changing
1/15/14 20:00	Williamston, South Carolina	South Carolina	4039	Williamston	34.6184471	-82.4779053	0	Formation
1/15/14 20:00	Conyers, Georgia	Georgia	15618	Conyers	33.6676103	-84.0176904	1	Formation
1/15/14 20:10	Campbell, California	California	40584	Campbell	37.2158191	-79.1165953	4	Fireball
1/15/14 20:15	Loganville, Georgia	Georgia	10815	Loganville	39.8556564	-76.7074696	1	Light
1/15/14 20:30	Covington, Georgia	Georgia	13452	Covington	39.0837489	-84.5086221	1	Light
1/15/14 22:30	Stewartstown, Pennsylvania	Pennsylvania	2308	Stewartstown	39.7537146	-76.5913571	0	Light
1/16/13 01:30	Troy, Illinois	Illinois	9992	Troy	38.7292147	-89.8831541	0	Unknown
1/16/13 07:50	Coolidge, Arizona	Arizona	11887	Coolidge	32.9592495	-111.531510099912	1	Circle
1/16/13 09:50	St. Augustine, Florida	Florida	13679	St. Augustine	29.894691	-81.314517	1	Triangle
1/16/13 16:00	Issaquah, Washington	Washington	33566	Issaquah	47.5355768	-122.0432974	3	Other
1/16/13 20:04	Orting, Washington	Washington	7023	Orting	47.0978795	-122.2042824	0	Light
1/16/13 23:20	Astoria, Oregon	Oregon	9516	Astoria	46.1878845	-123.8312563	0	Chevron
1/16/14 01:00	Shoreline, Washington	Washington	54790	Shoreline	47.7558895	-122.341398159088	5	Other
1/16/14 17:30	Belgrade, Montana	Montana	7620	Belgrade	44.8178787	20.4568089	0	Unknown
