SightingDate	fullLocation	StateText	2013
1/5/13 22:00	Markesan, Wisconsin	Wisconsin	1438
1/6/13 18:05	Springfield, Illinois	Illinois	117006
1/6/14 09:00	Morris, Illinois	Illinois	13926
1/6/14 14:00	Clinchport, Virginia	Virginia	69
1/6/14 16:00	Lansdale, Pennsylvania	Pennsylvania	16408
1/7/14 19:00	Mayville, Wisconsin	Wisconsin	5056
1/7/14 19:08	Tucson, Arizona	Arizona	526116
1/7/14 21:58	Hampton, Virginia	Virginia	136699
1/9/13 17:20	Wheatland, Iowa	Iowa	751
1/9/14 08:10	Tampa, Florida	Florida	352957
10/1/13 06:15	Clawson, Michigan	Michigan	12048
10/1/13 09:43	Muncie, Indiana	Indiana	70316
10/1/13 21:30	Cumming, Georgia	Georgia	5613
10/10/13 19:00	Rittman, Ohio	Ohio	6541
10/11/13 20:00	Cincinnati, Ohio	Ohio	297517
10/11/13 22:00	Melbourne, Florida	Florida	77508
10/13/13 19:40	Mechanicsburg, Pennsylvania	Pennsylvania	8982
10/13/13 19:47	Spokane, Washington	Washington	210721
10/13/13 20:45	Gobles, Michigan	Michigan	819
10/13/13 23:00	Warren, Michigan	Michigan	134873
10/15/13 20:00	Boise, Idaho	Idaho	214237
10/16/13 20:23	Sacramento, California	California	479686
10/16/13 21:40	Indianapolis, Indiana	Indiana	843393
10/16/13 22:30	South Weber, Utah	Utah	6525
10/18/13 21:30	Oxford, Georgia	Georgia	2137
10/18/13 21:33	Lawrenceville, Georgia	Georgia	29868
10/18/13 22:34	Norwood, Ohio	Ohio	19059
10/19/13 11:00	Miramar, Florida	Florida	130288
10/19/13 21:00	Lewisburg, Pennsylvania	Pennsylvania	5733
10/19/13 22:15	Flint, Michigan	Michigan	99763
10/2/13 06:45	Upper Marlboro, Maryland	Maryland	794
10/2/13 14:15	Las Vegas, Nevada	Nevada	603488
10/2/13 20:05	Martinsburg, West Virginia	West Virginia	17668
10/2/13 21:00	Martin, Michigan	Michigan	407
10/20/13 19:00	Philadelphia, Pennsylvania	Pennsylvania	1553165
10/21/13 19:50	Watertown, Massachusetts	Massachusetts	32996
10/22/13 05:45	Longmont, Colorado	Colorado	89919
10/24/13 22:40	Waterloo, Iowa	Iowa	68366
10/24/13 22:45	Mansfield, Texas	Texas	60872
10/24/13 23:30	Brandon, Mississippi	Mississippi	22498
10/25/13 08:15	Wellington, Colorado	Colorado	6725
10/25/13 20:00	Morris, Illinois	Illinois	13926
10/25/13 20:30	Nampa, Idaho	Idaho	86518
10/26/13 17:30	Spokane, Washington	Washington	210721
10/26/13 21:25	La Porte, Indiana	Indiana	22010
10/26/13 21:36	Cape Coral, Florida	Florida	165831
10/27/13 19:00	Moorhead, Minnesota	Minnesota	39398
10/28/13 10:38	Walkertown, North Carolina	North Carolina	4836
10/28/13 20:06	Aberdeen, North Carolina	North Carolina	6906
10/29/13 19:20	Milton-Freewater, Oregon	Oregon	7099
10/29/13 22:40	San Clemente, California	California	65040
10/3/13 20:00	Somerset, Pennsylvania	Pennsylvania	6144
10/3/13 22:15	Clarksville, Arkansas	Arkansas	9324
10/3/13 23:00	Philadelphia, Pennsylvania	Pennsylvania	1553165
10/30/13 05:58	Kelso, Washington	Washington	11810
10/30/13 14:00	St. Paul, Minnesota	Minnesota	294873
10/4/13 00:34	Manor, Texas	Texas	6353
10/4/13 06:45	Surprise, Arizona	Arizona	123546
1/4/14 20:35	Berea, Ohio	Ohio	19015
1/4/14 21:00	Portland, Oregon	Oregon	609456
1/4/14 23:00	Fort Myers, Florida	Florida	68190
1/5/13 20:00	Portland, Maine	Maine	66318
1/6/14 19:00	Lewisburg, West Virginia	West Virginia	3955
1/7/13 12:35	Greenwood, Mississippi	Mississippi	15860
1/7/13 17:45	Madison, Wisconsin	Wisconsin	243344
1/8/14 15:00	Columbus, Ohio	Ohio	822553
